Reference, Value, Footprint, Quantity, SolderPoints, Price, PN, URL, Info, SolderPointsDip, Color, Sum
ANT1 ,ANT_PCB_MONO,Radio:ANT_868_24x30,1,0,0,,,,,
BLN1 ,BALUN868JOHANSON,Radio:BALUN_JOHANSON868,1,6,45,0896BM15A0001E,http://onelec.ru/products/0896bm15a0001e-52ab3408-7c12-4b8c-99ab-cc294cdc1e18,,,
C2 ,10u,Capacitors:CAP_0603,1,2,4,,,,,
C26 C27 ,18pF,Capacitors:CAP_0603,2,2,0.5,,,,,
C10 C11 C18 C19 C20 C21 C24 C25 C28 C3 C31 C33 C36 C37 C39 C4 C41 C42 C43 C5 C6 C7 ,0.1u,Capacitors:CAP_0603,22,2,0.5,,,,,
C35 ,2.4pF,Capacitors:CAP_0402,1,2,0.5,,,,,
C12 C13 C14 C15 C16 C17 C30 C38 ,100u 6V3,Capacitors:CAP_1206,8,2,7,CL31A107MQHNNNE,,,,
C40 ,DoNotMount,Capacitors:CAP_0402,1,2,0.5,,,,,
C1 C8 ,10n,Capacitors:CAP_0603,2,2,0.5,,,,,
C32 C9 ,1u,Capacitors:CAP_0603,2,2,0.5,,,,,
D1 ,L-C191KGCT,LEDs:LED_0603,1,2,2.2,L-C191KGCT,http://onelec.ru/products/l-c191kgct,,,Green
D2 ,L-C191LBCT,LEDs:LED_0603,1,2,2.4,L-C191LBCT,http://onelec.ru/products/l-c191lbct,,,Blue
D3 D4 D5 D6 ,PMEG2020,Diodes:SOD323,4,2,5.5,PMEG2020EJ.115,https://www.terraelectronica.ru/catalog_info.php?CODE=192057,2A 20V Vf=525mV,,
DA1 DA2 ,DRV8835,QFN_DFN:WSON12,2,13,95,DRV8835DSSR,http://onelec.ru/products/drv8835dssr,,,
DA3 DA7 ,MCP1700,SOT:SOT23-3A,2,3,20,MCP1700T-3302E/TT,,,,
DD1 ,STM32F072RxTx,LQFP_TQFP:LQFP64,1,64,170,stm32f072R8t6,http://,,,
DD2 ,CC1101,QFN_DFN:QFN20,1,21,140,,http://,,,
F1 ,Fuse0R,PCB:FuseShorted,1,1,0,,,,,
HOLE1 HOLE2 ,HOLE_METALLED,PCB:Hole3d3_out5d5mm,2,0,0,,,,,
L1 ,BLM15AG102SN1,Inductors:IND_0402,1,2,1,,,,,
L2 ,1.2nH,Inductors:IND_0402,1,2,4,,,,,
Logo1 ,Logo,Pictures:Ostranna_8x8,1,0,0,,,,,
Logo2 ,Logo,Pictures:Livetronic27x9,1,0,0,,,,,
Logo3 ,Logo,Pictures:Livetronic13x4,1,0,0,,,,,
Q1 ,IRF9358,SO_DIL_TSSOP:SO8_150MIL,1,8,29,,http://onelec.ru/products/irf9358pbf-dd012426-33d8-429e-9c6a-2b35b0a91da1,,,
Q2 ,2N7002,SOT:SOT23-3,1,3,1.6,,,,,
Q3 Q4 ,IRLML0030,SOT:SOT23-3,2,3,7.5,IRLML0030TRPBF,https://www.terraelectronica.ru/catalog.php?ID=349&search=irlml0030,,,
R1 R3 R4 R5 ,1k,Resistors:RES_0603,4,2,0.5,,,,,
R10 R6 R7 R9 ,100k,Resistors:RES_0603,4,2,0.5,,,,,
R11 R12 R2 R8 ,56k,Resistors:RES_0603,4,2,0.5,,,,,
RP1 RP2 RP3 RP4 ,REFPOINT,PCB:REF_POINT_1MM,4,0,0,,,,,
SW1 ,DIPx8,BtnsSwitches:DIP_SMD_X8,1,16,27,,http://www.zip-2002.ru/kommutatsiya/dip_pereklyuchateli/71280/swd_4-8/,,,
SW2 ,IT-1187A,BtnsSwitches:BTN_4x4_SMD,1,4,4,IT-1187A,,,,
SW3 ,SS-12F23,BtnsSwitches:SW_SS-12F23,1,3,10,,,,,
TP1 ,TESTPOINT,PCB:TESTPOINT_1MM,1,0,0,,,,,
XL1 ,CONN_6,Connectors:PLS-6,1,6,1,,,,,
XL10 XL11 XL12 XL13 XL15 XL16 XL19 XL20 XL21 XL9 ,PLS3,Connectors:PLS-3,10,3,1,,,,,
XL14 XL17 XL4 XL5 XL6 XL7 XL8 ,PLS2,Connectors:PLS-2,7,2,0.5,,,,2,
XL18 ,CONN_1,Connectors:PLS-1Rnd,1,0,0,,,,,
XL2 ,USB_MICRO,Connectors:USBmicro_MOLEX_1050170001,1,9,46,105017-0001,,,,
XL3 ,CONN_2,Connectors:W02_Pitch_2d54,1,2,2,,,,,
XTAL1 ,27MHz,Quartz:03225C4,1,4,15,,,,,
