Reference, Value, Footprint, Quantity, SolderPoints, Price, PN, URL, Color, Sum
ANT1 ,ANT_PCB_MONO_2PIN,Radio:ANT_868_IFA_SIMPLEJOY,1,0,0,,,
B1 ,BAT,Installation:BATTERY_AAA_X3,1,2,30,,http://www.quartz1.com/price/model.php?akt=5470.11,
BLN1 ,BALUN868JOHANSON,Radio:BALUN_JOHANSON868,1,6,45,0896BM15A0001E,http://onelec.ru/products/0896bm15a0001e-52ab3408-7c12-4b8c-99ab-cc294cdc1e18,
C1 C10 ,10n,Capacitors:CAP_0603,2,2,0.5,,,
C11 C17 ,1u,Capacitors:CAP_0603,2,2,0.5,,,
C14 C15 C3 C4 ,18pF,Capacitors:CAP_0603,4,2,0.5,,,
C12 C13 C16 C18 C19 C21 C22 C24 C25 C5 C6 C7 C8 C9 ,0.1u,Capacitors:CAP_0603,14,2,0.5,,,
C2 ,10u,Capacitors:CAP_0603,1,2,4,,,
C20 ,2pF,Capacitors:CAP_0402,1,2,0.5,,,
C23 ,DoNotMount,Capacitors:CAP_0402,1,2,0.5,,,
C26 ,100pF,Capacitors:CAP_0402,1,2,0.5,,,
D1 D5 ,L-C191LBCT,LEDs:LED_0603,2,2,2.4,L-C191LBCT,http://onelec.ru/products/l-c191lbct,Blue
D2 D3 ,PMEG2020,Diodes:SOD323,2,2,5,,,
D4 ,L-C191KGCT,LEDs:LED_0603,1,2,2.2,L-C191KGCT,http://onelec.ru/products/l-c191kgct,Green
DA1 ,MCP1700,SOT:SOT23-3A,1,3,20,MCP1700T-3302E/TT,,
DD1 ,STM32F072RxTx,LQFP_TQFP:LQFP64,1,64,170,stm32f072R8t6,http://,
DD2 ,CC1101,QFN_DFN:QFN20,1,21,140,,http://,
HOLE1 HOLE2 HOLE3 HOLE4 HOLE5 HOLE6 HOLE7 HOLE8 ,HOLE_METALLED,PCB:Hole3_5_out6mm,8,0,0,,,
J1 J2 ,Joystick,BtnsSwitches:Joystick,2,14,130,,https://ru.aliexpress.com/item/2pcs-3D-Controller-Joystick-Axis-Analog-Sensor-Modules-Thumbsticks-3D-Joystick-Handle-Rocker-For-Xbox-One/32720014359.html?spm=2114.10010208.1000014.11.0Vt8WT&traffic_analysisId=recommend_3035_null_null_null&scm=1007.13338.79672.000000000000000&pvid=e19fd898-fb9d-45ba-8d72-221ec6b2c2b5&tpp=1,
J3 J4 ,Joystick,BtnsSwitches:JoystickSmall,2,14,130,,,
L1 L2 L3 ,BLM15AG102,Inductors:IND_0402,3,2,1,BLM15AG102SN1,,
L4 ,1.2nH,Inductors:IND_0402,1,2,4,,,
Logo1 ,Logo,Pictures:Ostranna_12d7_10d1,1,0,0,,,
Logo2 Logo3 ,Logo,Pictures:Livetronic27x9,2,0,0,,,
Q1 ,2N7002,SOT:SOT23-3,1,3,1.6,,,
R1 ,51R,Resistors:RES_0603,1,2,0.5,,,
R12 R13 R2 R3 R5 ,1k,Resistors:RES_0603,5,2,0.5,,,
R4 R9 ,56k,Resistors:RES_0603,2,2,0.5,,,
R6 R7 ,10k,Resistors:VAR_PTV09A-4,2,5,11,,http://www.zip-2002.ru/rezistory/potentsiometry/69732/rs09-n-30_10k/,
R10 R11 R8 ,100k,Resistors:RES_0603,3,2,0.5,,,
RP1 RP2 RP3 RP4 ,REFPOINT,PCB:REF_POINT_1MM,4,0,0,,,
SW2 ,DIPx8,BtnsSwitches:DIP_SMD_X8,1,16,35,1-1825058-9,https://www.terraelectronica.ru/catalog_info.php?CODE=854801,
SW3 ,SWITCH,BtnsSwitches:SW_SS-12F23,1,5,5,,,
SW1 SW4 SW5 SW6 SW7 SW8 ,IT-1187A,BtnsSwitches:BTN_4x4_SMD,6,4,4,,http://www.zip-2002.ru/kommutatsiya/taktovye_knopki/83335/it-1187a_(4x4x4.3)/,
TP1 ,TESTPOINT,PCB:TESTPOINT_1MM,1,0,0,,,
U1 ,USBLC6,SOT:SOT23-6,1,6,9,USBLC6-2SC6,https://www.terraelectronica.ru/catalog_info.php?CODE=244787,
U2 ,BT_HC05,Modules:BT_HC0x,1,34,,,,
XL1 ,PBS-8,Connectors:PLS-8,1,8,24,,http://www.quartz1.com/price/model.php?group=1136&ext=1932,
XL2 ,CONN_6,Connectors:PLS-6,1,6,2,,,
XL3 ,USB_MINI_B,Connectors:USBmicro_MOLEX_WM17142,1,9,46,47491-0001,,
XL4 ,CONN_1,Connectors:PLS-1Rnd,1,0,0,,,
XTAL1 ,12MHz,Quartz:0503x4-4,1,4,15,,,
XTAL2 ,27MHz,Quartz:03225C4,1,4,15,,,
